"","X","schlcode","c_size","c_boys","c_girls","c_numcl","c_pik","c_status","c_leom","c_tip","c_num4rd","c_type","flgrm4","mrkgrm4","ngrm4","flmth4","mrkmth4","nmth4","towncode","popcode","tip_a","grade","classid","classize","X_type_","X_freq_","cohsize","mathsize","avgmath","passmath","verbsize","avgverb","passverb","studchk","misskov2","missagg","nmiss_k","nmiss_a","classct","math_n","flmath_n","nmath_n","verb_n","flverb_n","nverb_n","impute","nverb_m","nmath_m","tip_s","townid","tipuach"
"48",48,11072,49,26,23,12,2,2,1,5,2,2,13,70,45,33.3300018310547,66,45,7963,12,25,4,2,25,0,2,49,22,67.6800003051758,22.7000007629395,22,69.0500030517578,18.2000007629395,1,0,0,0,0,2,66.2897796630859,33.331111907959,45,69.9137802124023,13.3444442749023,45,0,NA,NA,25,7963,25
"49",49,11073,43,21,22,19,1,1,1,1,2,2,5,82,37,10,76,40,5678,11,7,4,1,21,0,2,43,21,75.0500030517578,9.5,21,83.7600021362305,9.5,1,0,0,0,0,2,75.9524993896484,9.97500038146973,40,82.3762130737305,5.39189195632935,37,0,NA,NA,7,5678,7
"50",50,11073,43,21,22,19,1,1,1,1,2,2,5,82,37,10,76,40,5678,11,7,4,2,22,0,2,43,19,76.9499969482422,10.5,16,80.5599975585938,0,1,0,0,0,0,2,75.9524993896484,9.97500038146973,40,82.3762130737305,5.39189195632935,37,0,NA,NA,7,5678,7
"51",51,11106,65,38,27,14,1,1,1,1,3,2,6,78,52,27.7800006866455,68,54,30007,11,3,4,1,26,0,2,53,28,72.6100006103516,17.8999996185303,26,79.6500015258789,3.79999995231628,1,0,0,0,0,2,67.6122207641602,27.8185176849365,54,77.6149978637695,5.75,52,0,NA,NA,3,30007,3
"52",52,11106,65,38,27,14,1,1,1,1,3,2,6,78,52,27.7800006866455,68,54,30007,11,3,4,2,27,0,2,53,26,62.2299995422363,38.5,26,75.5800018310547,7.69999980926514,1,0,0,0,0,2,67.6122207641602,27.8185176849365,54,77.6149978637695,5.75,52,0,NA,NA,3,30007,3
"53",53,11108,14,8,6,6,2,2,1,8,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,14,0,1,14,11,50.1800003051758,63.5999984741211,11,52.3600006103516,45.5,1,0,1,0,1,1,50.1800003051758,63.5999984741211,11,52.3600006103516,45.5,11,0,NA,NA,54,26104,54
"54",54,11109,118,50,68,25,1,2,1,1,4,4,10,79,112,21.6200008392334,74,111,10561,11,5,4,1,30,0,4,118,26,77.6500015258789,7.69999980926514,26,80.1900024414062,7.69999980926514,1,0,0,1,0,4,74.7963714599609,20,80,79.6054306030273,7.40000009536743,81,0,NA,NA,5,10561,5
"55",55,11109,118,50,68,25,1,2,1,1,4,4,10,79,112,21.6200008392334,74,111,10561,11,5,4,2,33,0,4,118,31,73.3499984741211,22.6000003814697,31,79.9400024414062,3.20000004768372,1,0,0,1,0,4,74.7963714599609,20,80,79.6054306030273,7.40000009536743,81,0,NA,NA,5,10561,5
"56",56,11109,118,50,68,25,1,2,1,1,4,4,10,79,112,21.6200008392334,74,111,10561,11,5,4,3,24,0,4,118,23,73.5199966430664,30.3999996185303,24,78.5400009155273,12.5,1,0,0,1,0,4,74.7963714599609,20,80,79.6054306030273,7.40000009536743,81,0,NA,NA,5,10561,5
"57",57,11109,118,50,68,25,1,2,1,1,4,4,10,79,112,21.6200008392334,74,111,10561,11,5,4,4,31,0,4,118,31,71.9448394775391,25.8006458282471,31,77.4180679321289,16.7935485839844,NA,1,0,1,0,4,74.7963714599609,20,80,79.6054306030273,7.40000009536743,81,1,31,31,5,10561,5
